Number,risks_AI_avg,support_company,gender_bin,objective_threat,trait_risk,educ_short,percent_job_gain,age_group,education,country,manipulation_check2,weight
1578,5,4,Men,0.466666667,risky,0,70%,18 to 29,Some college,US,Pass,0.4564
1579,7,2,Women,NA,certain,1,50%,45 to 64,University,US,Pass,1.0367
1580,0,5,Men,0.333333333,certain,1,100%,18 to 29,University,US,Pass,1.38
1581,10,1,Women,0.166666667,certain,1,70%,45 to 64,Postgrad,US,Pass,3.9948
1582,5,3,Women,0.8,certain,0,50%,30 to 44,HS or less,US,Pass,0.7937
1583,2,5,Men,NA,certain,0,70%,45 to 64,Some college,US,Pass,0.8634
1584,3,4,Men,0.233333333,certain,0,100%,45 to 64,Some college,US,Pass,0.8634
1585,3,3,Women,0.433333333,certain,0,50%,45 to 64,Some college,US,Pass,0.514
1586,5,2,Women,NA,certain,0,100%,45 to 64,Some college,US,Pass,2.9347
1587,5,NA,Women,NA,certain,0,50%,65 or older,HS or less,Canada,Pass,1.7283
1588,2.5,5,Women,0.533333333,risky,1,50%,30 to 44,University,US,Pass,0.8802
1589,3.5,4,Men,NA,certain,0,50%,65 or older,HS or less,Canada,Pass,0.994
1590,5,4,Women,NA,certain,1,100%,45 to 64,University,US,Pass,0.6612
1591,1,4,NA,NA,certain,0,70%,18 to 29,HS or less,Canada,Pass,1.4133
1592,2,4,Women,0.633333333,risky,1,50%,18 to 29,University,US,Pass,0.7854
1593,3,2,Women,0.333333333,risky,1,30%,18 to 29,University,US,Pass,0.5469
1594,0.5,4,Women,0.2,certain,1,70%,18 to 29,University,US,Pass,3.3709
1595,5,4,Women,NA,risky,0,50%,45 to 64,HS or less,Canada,Fail,2.3485
1596,4,1,Women,NA,certain,0,30%,45 to 64,HS or less,US,Pass,0.9503
1597,1,5,Men,0.166666667,certain,0,30%,30 to 44,HS or less,Canada,Fail,0.8344
1598,3.5,3,Women,NA,certain,0,70%,30 to 44,HS or less,US,Pass,1.2164
1599,6,1,Men,NA,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.7829
1600,5,4,Women,0.533333333,certain,0,70%,45 to 64,Some college,US,Pass,1.607
1601,2,2,Women,NA,risky,1,100%,45 to 64,University,US,Pass,0.6612
1602,4,4,Men,NA,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.7829
1603,5,5,Women,NA,certain,0,70%,18 to 29,HS or less,Canada,Fail,0.645
1604,4.5,3,Women,0.466666667,certain,1,30%,18 to 29,University,Canada,Pass,0.7636
1605,3,4,Men,NA,certain,0,50%,18 to 29,HS or less,Canada,Fail,1.2729
1606,7.5,2,Men,0.3,certain,1,100%,45 to 64,University,Canada,Fail,0.7103
1607,7.5,2,Men,NA,certain,0,100%,45 to 64,HS or less,Canada,Fail,0.8391
1608,1.5,5,Men,NA,certain,0,30%,65 or older,Some college,US,Fail,0.6527
1609,10,1,Women,0.266666667,certain,1,70%,45 to 64,University,US,Pass,1.0017
1610,2,4,Men,0.5,risky,1,50%,45 to 64,University,US,Pass,0.826
1611,1,4,Women,0.066666667,risky,1,50%,18 to 29,University,US,Fail,0.6349
1612,8,3,Men,0.566666667,certain,0,50%,18 to 29,Some college,US,Pass,0.1973
1613,5,3,NA,NA,risky,0,30%,18 to 29,Some college,US,Pass,0.5439
1614,10,1,Women,NA,certain,0,50%,45 to 64,HS or less,US,Pass,0.4702
1615,10,2,NA,NA,certain,0,30%,18 to 29,Some college,Canada,Pass,1.0052
1616,4,4,Women,0.5,certain,0,30%,45 to 64,HS or less,Canada,Pass,2.0812
1617,3.5,4,Women,0.166666667,risky,1,70%,45 to 64,Postgrad,Canada,Pass,0.6814
1618,8,2,Women,NA,certain,0,70%,65 or older,HS or less,Canada,Fail,0.7454
1619,6,3,Women,NA,certain,0,70%,65 or older,HS or less,Canada,Pass,0.8276
1620,4,4,Men,0.3,risky,1,100%,45 to 64,University,US,Pass,0.8937
1621,5,NA,Women,0.7,certain,0,70%,18 to 29,HS or less,Canada,Pass,1.1794
1622,10,NA,Women,0.266666667,certain,0,70%,65 or older,Some college,Canada,Pass,0.4431
1623,0,5,Men,0.333333333,certain,0,100%,30 to 44,HS or less,Canada,Fail,3.5878
1624,5,4,Women,NA,certain,1,100%,18 to 29,University,Canada,Pass,1.0537
1625,3,2,Women,0.466666667,certain,1,70%,18 to 29,University,Canada,Fail,1.0434
1626,3,2,Men,0.466666667,risky,0,30%,45 to 64,Some college,Canada,Fail,0.5774
1627,10,NA,Women,NA,certain,0,100%,18 to 29,HS or less,Canada,Pass,1.8725
1628,7.5,2,Men,0.333333333,certain,1,70%,45 to 64,Postgrad,Canada,Pass,0.8556
1629,5,3,Men,NA,certain,0,50%,65 or older,Some college,Canada,Fail,0.768
1630,5,2,Women,NA,certain,0,70%,65 or older,Some college,Canada,Pass,0.6911
1631,8,4,Women,0.466666667,certain,1,100%,18 to 29,Postgrad,Canada,Pass,0.5638
1632,10,2,Women,NA,certain,0,100%,65 or older,HS or less,Canada,Pass,1.4733
1633,6,3,Women,0.266666667,certain,1,50%,45 to 64,University,US,Pass,0.3968
1634,4,4,Men,0.566666667,certain,0,70%,30 to 44,Some college,Canada,Pass,0.6214
1635,8,1,Men,0.433333333,certain,0,50%,45 to 64,HS or less,Canada,Pass,1.2881
1636,5,3,Men,0.766666667,risky,0,30%,45 to 64,HS or less,Canada,Fail,1.2308
1637,3.5,2,Women,0.566666667,certain,0,30%,30 to 44,Some college,Canada,Pass,0.3961
1638,3.5,5,Women,0.9,risky,0,30%,18 to 29,Some college,Canada,Fail,0.6054
1639,1.5,4,Women,0.4,certain,0,50%,30 to 44,Some college,Canada,Pass,0.3923
1640,1,1,Women,0.366666667,certain,0,70%,65 or older,HS or less,US,Fail,1.4049
1641,9,1,Men,0.866666667,certain,0,100%,45 to 64,Some college,Canada,Fail,0.9874
1642,5,3,Women,NA,certain,0,70%,30 to 44,HS or less,US,Fail,0.724
1643,5,3,Men,0.533333333,certain,0,50%,45 to 64,Some college,Canada,Pass,0.8286
1644,5,2,Women,0.466666667,risky,1,50%,45 to 64,University,Canada,Fail,1.4938
1645,4.5,NA,Women,NA,risky,0,100%,18 to 29,HS or less,US,Fail,1.2445
1646,10,1,Women,NA,certain,0,50%,18 to 29,Some college,Canada,Fail,1.5312
1647,7,2,NA,1,certain,0,30%,18 to 29,HS or less,Canada,Pass,0.8256
1648,10,2,Women,NA,certain,0,100%,30 to 44,HS or less,Canada,Fail,0.5884
1649,10,2,Women,NA,certain,0,100%,65 or older,HS or less,Canada,Pass,1.0266
1650,5,4,Men,NA,certain,0,50%,65 or older,Some college,Canada,Pass,0.6849
1651,4.5,3,Women,0.6,certain,0,100%,18 to 29,Some college,Canada,Fail,0.3662
1652,0,4,Men,NA,certain,1,100%,30 to 44,Postgrad,Canada,Fail,1.6108
1653,6,4,Men,NA,certain,0,70%,18 to 29,HS or less,Canada,Pass,3.1683
1654,4,4,Women,0.566666667,certain,0,70%,45 to 64,HS or less,Canada,Pass,0.7872
1655,4,2,Women,0.9,certain,0,100%,18 to 29,Some college,US,Fail,0.8557
1656,3.5,NA,Men,0.566666667,certain,0,70%,45 to 64,Some college,Canada,Pass,0.6474
1657,8,2,Women,0.4,certain,1,30%,45 to 64,University,Canada,Fail,0.7867
1658,2.5,NA,Women,0.3,certain,0,50%,18 to 29,Some college,Canada,Pass,0.5558
1659,7,4,Women,NA,certain,0,50%,65 or older,HS or less,Canada,Pass,1.1511
1660,0,4,Women,NA,certain,0,30%,65 or older,HS or less,Canada,Pass,0.8858
1661,3.5,5,Men,0.366666667,risky,1,70%,45 to 64,University,Canada,Pass,0.923
1662,6,3,Men,0.433333333,risky,0,30%,45 to 64,Some college,US,Pass,0.6364
1663,3,4,Women,0.6,risky,0,30%,45 to 64,Some college,US,Pass,0.8233
1664,5,2,Women,NA,certain,0,50%,65 or older,Some college,US,Pass,0.6695
1665,9,2,Men,NA,risky,0,50%,65 or older,Some college,US,Fail,1.1336
1666,7.5,3,Men,0.9,certain,0,100%,45 to 64,HS or less,US,Fail,0.696
1667,10,3,Women,NA,risky,0,50%,18 to 29,HS or less,US,Fail,0.9485
1668,6,2,Men,0.7,certain,0,70%,45 to 64,HS or less,Canada,Pass,1.4963
1669,1.5,4,Men,0.4,certain,0,30%,30 to 44,Some college,US,Pass,1.4097
1670,10,NA,Women,0.5,certain,0,50%,18 to 29,Some college,US,Fail,0.7579
1671,5,NA,Men,1,risky,0,30%,18 to 29,HS or less,US,Fail,1.3596
1672,1.5,4,Men,0.833333333,risky,0,30%,45 to 64,Some college,Canada,Fail,0.6474
1673,4,4,Men,NA,certain,0,30%,30 to 44,Some college,Canada,Pass,0.5781
1674,5,2,NA,NA,certain,0,30%,65 or older,Some college,Canada,Pass,0.4475
1675,5,4,Men,0.566666667,certain,0,70%,30 to 44,Some college,Canada,Pass,0.6214
1676,4,NA,Men,1,risky,0,100%,65 or older,HS or less,Canada,Fail,1.1511
1677,3,1,Men,0.533333333,certain,0,30%,30 to 44,HS or less,Canada,Pass,0.8426
1678,5,4,Men,0.666666667,certain,0,70%,45 to 64,HS or less,US,Pass,1.115
1679,6,NA,Women,NA,risky,0,50%,18 to 29,HS or less,US,Fail,0.951
1680,2.5,4,Men,NA,risky,0,100%,65 or older,Some college,Canada,Pass,0.6849
1681,6.5,2,Men,0.566666667,certain,0,70%,45 to 64,Some college,Canada,Fail,0.793
1682,5,NA,Men,NA,risky,0,70%,45 to 64,HS or less,US,Fail,0.8132
1683,6.5,4,Men,0.466666667,certain,0,70%,45 to 64,HS or less,Canada,Fail,1.0782
1684,3,2,Women,NA,certain,0,30%,65 or older,HS or less,Canada,Fail,0.7381
1685,5,3,Women,NA,certain,0,30%,45 to 64,HS or less,US,Fail,1.2687
1686,3.5,4,Men,NA,certain,0,100%,30 to 44,HS or less,US,Fail,2.0633
1687,6,3,Women,0.666666667,certain,0,70%,30 to 44,Some college,US,Pass,1.1682
1688,8,3,Women,0.6,certain,0,50%,30 to 44,Some college,Canada,Pass,0.3923
1689,5,3,Men,0.433333333,certain,0,50%,45 to 64,HS or less,US,Fail,0.7055
1690,4.5,3,Women,NA,certain,0,30%,18 to 29,HS or less,US,Fail,0.6368
1691,3.5,3,Men,0.5,certain,0,50%,45 to 64,HS or less,Canada,Pass,0.8298
1692,4.5,3,Men,0.333333333,risky,1,30%,18 to 29,University,Canada,Fail,2.1537
1693,5.5,2,Women,NA,certain,0,70%,18 to 29,HS or less,US,Fail,0.9747
1694,1,4,Women,0.333333333,certain,0,100%,45 to 64,HS or less,Canada,Fail,0.8827
1695,7,4,Women,0.833333333,risky,0,100%,45 to 64,Some college,US,Fail,0.7379
1696,5.5,3,Women,NA,risky,0,30%,45 to 64,HS or less,Canada,Pass,0.9448
1697,3,4,Men,NA,certain,0,30%,45 to 64,HS or less,Canada,Pass,2.2708
1698,8,NA,Women,NA,certain,0,30%,65 or older,Some college,US,Pass,0.7508
1699,1.5,5,Women,NA,risky,0,100%,45 to 64,HS or less,US,Fail,0.8049
1700,5,1,Women,NA,certain,0,70%,65 or older,HS or less,US,Fail,0.6579
1701,10,4,Women,NA,certain,0,100%,65 or older,HS or less,US,Fail,0.7993
1702,0.5,1,Men,0.733333333,risky,1,50%,30 to 44,University,Canada,Fail,1.4249
1703,4.5,2,Women,0.733333333,risky,0,30%,65 or older,HS or less,US,Pass,0.7241
1704,5,NA,Women,0.833333333,certain,0,30%,30 to 44,Some college,Canada,Fail,0.4545
1705,5,NA,Men,1,risky,0,100%,45 to 64,HS or less,Canada,Fail,0.7752
1706,7,3,Women,NA,certain,0,50%,45 to 64,HS or less,US,Fail,0.6363
1707,5,2,Women,0.433333333,certain,0,30%,45 to 64,HS or less,Canada,Pass,0.6346
1708,3,5,Women,NA,certain,0,100%,65 or older,Some college,US,Fail,0.8129
1709,3,4,Women,NA,certain,0,30%,65 or older,HS or less,US,Pass,0.4459
1710,9,3,Women,NA,certain,0,50%,18 to 29,Some college,US,Pass,0.8393
1711,5,NA,Women,0.866666667,certain,0,70%,30 to 44,HS or less,Canada,Pass,1.7099
1712,8,3,Women,0.466666667,certain,0,50%,65 or older,HS or less,US,Pass,0.6588
1713,0.5,4,Men,0.433333333,risky,0,50%,18 to 29,HS or less,US,Fail,0.9716
1714,0,3,Women,NA,certain,0,30%,30 to 44,HS or less,Canada,Pass,1.0373
1715,5,NA,Women,NA,certain,0,70%,45 to 64,HS or less,US,Fail,0.6109
1716,2.5,4,Men,0.833333333,risky,0,100%,45 to 64,HS or less,Canada,Fail,0.8945
1717,4,2,Men,0.566666667,risky,0,70%,30 to 44,HS or less,Canada,Fail,1.4854
1718,6.5,NA,Women,NA,certain,0,50%,65 or older,Some college,US,Fail,0.3107
1719,7,2,Women,0.466666667,certain,0,50%,30 to 44,Some college,US,Pass,0.546
1720,4,4,Women,NA,certain,0,70%,65 or older,Some college,US,Pass,0.8129
1721,10,2,Women,NA,certain,0,100%,65 or older,Some college,US,Pass,0.5943
1722,7,NA,Women,NA,certain,0,30%,65 or older,Some college,US,Fail,1.3317
1723,4,3,Women,NA,certain,0,50%,65 or older,Some college,US,Fail,0.7391
1724,9,3,Women,0.3,certain,0,50%,65 or older,Some college,US,Pass,0.5991
1725,6.5,3,Men,0.6,certain,0,50%,30 to 44,HS or less,Canada,Fail,1.035
1726,8,1,Women,0.533333333,risky,0,100%,45 to 64,HS or less,Canada,Fail,0.6346
1727,4.5,2,Women,0.633333333,certain,0,30%,18 to 29,Some college,US,Pass,2.1707
1728,4,2,Men,0.3,certain,0,30%,30 to 44,HS or less,US,Pass,1.1619
1729,3,3,Men,0.5,certain,1,50%,30 to 44,University,Canada,Pass,0.8461
1730,7,4,Women,0.4,certain,0,30%,65 or older,Some college,US,Pass,0.5069
1731,1,4,Men,0.5,risky,0,50%,45 to 64,Some college,Canada,Pass,0.546
1732,1,2,Men,0.2,certain,1,30%,45 to 64,University,Canada,Fail,0.6636
1733,7,2,Women,0.7,certain,0,100%,30 to 44,HS or less,Canada,Pass,0.7539
1734,3,4,Women,0.333333333,certain,1,100%,18 to 29,University,Canada,Pass,1.0434
1735,5,3,Women,0.466666667,risky,0,70%,30 to 44,Some college,Canada,Fail,0.4866
1736,10,3,Men,0.733333333,risky,0,50%,45 to 64,HS or less,Canada,Pass,1.6446
1737,5.5,2,Men,0.366666667,certain,0,50%,30 to 44,Some college,Canada,Pass,0.8918
1738,3,4,Women,NA,certain,0,70%,65 or older,Some college,US,Pass,0.6582
1739,2,4,Men,NA,certain,0,50%,18 to 29,HS or less,Canada,Fail,2.693
1740,4.5,3,Men,NA,certain,0,100%,65 or older,Some college,Canada,Fail,0.6849
1741,3,3,Women,NA,certain,0,70%,65 or older,HS or less,US,Pass,1.3295
1742,3.5,3,Men,0.366666667,risky,1,70%,18 to 29,University,Canada,Fail,2.1537
1743,5,NA,Women,NA,risky,0,70%,45 to 64,Some college,Canada,Fail,0.6049
1744,1.5,2,Women,0.6,certain,1,50%,45 to 64,University,Canada,Pass,0.7017
1745,7,4,Men,0.466666667,risky,1,100%,30 to 44,University,Canada,Pass,0.7142
1746,5,3,Women,0.433333333,certain,0,100%,65 or older,Some college,US,Pass,0.4402
1747,0,1,Men,0.2,certain,0,100%,45 to 64,Some college,Canada,Pass,0.4654
1748,1.5,2,Men,0.4,certain,0,30%,45 to 64,HS or less,Canada,Fail,0.8945
1749,1,5,Women,NA,certain,0,100%,65 or older,HS or less,Canada,Fail,1.0266
1750,1.5,4,Men,0.4,certain,0,100%,18 to 29,HS or less,Canada,Pass,1.4272
1751,4,4,Women,0.433333333,certain,0,30%,45 to 64,Some college,Canada,Pass,0.4514
1752,5,1,Women,NA,certain,1,100%,30 to 44,Postgrad,Canada,Pass,0.7084
1753,3,4,Men,0.466666667,certain,1,70%,30 to 44,University,Canada,Pass,1.2147
1754,3,3,Men,1,certain,0,50%,30 to 44,HS or less,US,Pass,1.6172
1755,5,NA,Women,0.4,certain,1,30%,45 to 64,University,Canada,Fail,2.0777
1756,10,NA,Women,NA,certain,0,70%,65 or older,HS or less,US,Pass,0.8175
1757,8,3,Men,NA,certain,0,50%,65 or older,Some college,Canada,Fail,0.6849
1758,5,4,Men,0.466666667,certain,0,30%,30 to 44,Some college,US,Fail,1.5492
1759,9,4,Women,NA,certain,0,100%,45 to 64,HS or less,US,Fail,0.4291
1760,3,3,Women,NA,risky,0,100%,65 or older,Some college,US,Pass,2.9161
1761,3,4,Men,0.433333333,certain,1,70%,30 to 44,University,Canada,Fail,1.4678
1762,5,3,Men,NA,certain,0,50%,45 to 64,HS or less,US,Fail,0.9569
1763,2.5,3,Women,NA,certain,1,70%,18 to 29,University,Canada,Pass,1.6566
1764,10,NA,Men,1,certain,0,50%,30 to 44,HS or less,US,Fail,1.0492
1765,1,NA,Men,1,risky,1,70%,45 to 64,Postgrad,Canada,Fail,0.3135
1766,6,2,NA,0.666666667,certain,1,30%,30 to 44,University,Canada,Fail,2.3339
1767,5,2,Women,0.733333333,risky,1,30%,30 to 44,University,US,Fail,1.1311
1768,4,3,Women,0.366666667,certain,0,30%,45 to 64,Some college,Canada,Pass,0.6783
1769,5,NA,Men,NA,certain,0,30%,45 to 64,HS or less,US,Pass,0.8656
1770,6.5,1,Women,0.766666667,certain,0,50%,30 to 44,HS or less,US,Pass,1.2011
1771,5,5,Women,0.333333333,certain,1,100%,30 to 44,Postgrad,US,Pass,1.082
1772,5.5,2,Men,NA,certain,0,70%,65 or older,HS or less,US,Fail,0.9581
1773,6.5,4,Men,0.433333333,certain,1,70%,45 to 64,University,US,Pass,0.3995
1774,5,NA,Men,0.566666667,certain,1,50%,65 or older,University,US,Pass,0.5698
1775,0,3,Men,NA,certain,0,70%,65 or older,HS or less,US,Fail,1.1267
1776,3,4,Men,0.8,certain,0,100%,45 to 64,HS or less,US,Fail,0.7968
1777,10,5,Women,NA,certain,0,70%,18 to 29,HS or less,US,Pass,0.814
1778,4,NA,Women,NA,certain,0,100%,30 to 44,HS or less,US,Pass,0.7331
1779,5,4,Men,0.2,certain,1,100%,30 to 44,University,US,Pass,1.0517
1780,4.5,4,Women,0.266666667,certain,1,30%,45 to 64,Postgrad,US,Fail,0.9554
1781,7,NA,Men,NA,risky,0,30%,65 or older,HS or less,US,Pass,0.6892
1782,2.5,4,Women,NA,certain,1,100%,45 to 64,University,Canada,Pass,1.0943
1783,5,1,Women,NA,certain,0,30%,45 to 64,Some college,US,Fail,0.7862
1784,3.5,3,Women,0.566666667,certain,1,50%,45 to 64,Postgrad,Canada,Pass,1.1128
1785,2,4,Women,0.2,risky,1,70%,45 to 64,Postgrad,Canada,Pass,0.3537
1786,5,4,Women,NA,risky,1,100%,65 or older,Postgrad,US,Pass,1.2653
1787,2,4,Men,0.433333333,risky,0,70%,18 to 29,HS or less,US,Pass,0.8156
1788,6.5,4,Women,0.266666667,certain,1,100%,45 to 64,University,US,Pass,0.764
1789,3.5,5,Men,NA,certain,1,100%,65 or older,University,US,Pass,0.5511
1790,2,4,Men,NA,risky,0,100%,65 or older,Some college,Canada,Pass,0.6477
1791,10,1,Men,0.366666667,certain,1,30%,30 to 44,University,US,Pass,0.924
1792,1,5,Men,0.333333333,certain,1,50%,45 to 64,University,US,Pass,3.9561
1793,5,5,Women,0.433333333,certain,1,100%,65 or older,University,US,Pass,0.7132
1794,3.5,3,Women,NA,risky,0,50%,18 to 29,Some college,US,Pass,1.0705
1795,2,4,Men,NA,risky,0,70%,18 to 29,Some college,US,Fail,0.745
1796,2,3,Men,0.3,certain,1,70%,65 or older,University,US,Pass,1.1283
1797,2,5,Men,NA,certain,0,100%,65 or older,HS or less,US,Fail,0.6224
1798,10,2,Men,0.533333333,risky,0,50%,45 to 64,HS or less,Canada,Pass,1.0782
1799,7,3,Women,NA,certain,0,50%,18 to 29,Some college,Canada,Pass,0.4648
1800,5,3,Men,0.366666667,certain,0,70%,30 to 44,HS or less,US,Pass,2.2375
1801,3.5,4,Men,NA,certain,1,100%,65 or older,University,US,Pass,0.6946
1802,5,4,Men,NA,certain,0,100%,45 to 64,HS or less,US,Pass,0.4262
1803,4,2,Men,0.466666667,certain,1,30%,30 to 44,University,US,Fail,3.6342
1804,5,3,Men,0.7,certain,0,50%,30 to 44,HS or less,US,Pass,1.0492
1805,7,4,Women,0.533333333,certain,0,100%,30 to 44,HS or less,Canada,Fail,2.6381
1806,0,4,Men,0.566666667,certain,1,70%,30 to 44,University,US,Pass,0.7721
1807,5,1,Men,NA,certain,0,30%,18 to 29,HS or less,US,Pass,0.2456
1808,7,2,Men,NA,certain,0,30%,65 or older,HS or less,Canada,Pass,1.1408
1809,0.5,NA,Women,0.6,certain,0,50%,18 to 29,Some college,Canada,Pass,1.3436
1810,5.5,1,Men,NA,certain,0,100%,65 or older,HS or less,Canada,Fail,0.9843
1811,5,2,Men,0.5,certain,1,50%,18 to 29,Postgrad,US,Fail,1.8364
1812,2.5,4,Women,0.333333333,certain,1,100%,30 to 44,Postgrad,US,Fail,0.6705
1813,5,NA,Men,NA,certain,0,100%,65 or older,HS or less,US,Pass,3.3712
1814,1.5,5,Women,NA,risky,0,50%,18 to 29,HS or less,Canada,Pass,1.9148
1815,4,3,Women,NA,certain,0,100%,18 to 29,HS or less,US,Fail,0.7247
1816,10,3,Women,NA,certain,0,70%,30 to 44,HS or less,US,Pass,0.7134
1817,6.5,4,Men,NA,certain,0,100%,65 or older,Some college,US,Pass,0.7357
1818,8,1,Men,NA,certain,0,30%,45 to 64,Some college,Canada,Pass,0.47
1819,5,NA,Men,NA,certain,0,70%,65 or older,Some college,Canada,Pass,1.0069
1820,6,4,Women,NA,certain,0,100%,30 to 44,Some college,US,Pass,0.6452
1821,5,3,Women,NA,certain,0,30%,30 to 44,Some college,Canada,Pass,0.4981
1822,6,3,Women,NA,certain,0,30%,45 to 64,HS or less,Canada,Fail,0.7444
1823,10,2,Women,NA,certain,0,50%,65 or older,Some college,Canada,Pass,0.6164
1824,6.5,3,Women,0.8,risky,0,70%,30 to 44,HS or less,US,Fail,1.0412
1825,3.5,4,Women,NA,risky,0,50%,65 or older,HS or less,US,Fail,0.7555
1826,10,1,Men,NA,certain,0,50%,65 or older,HS or less,US,Fail,1.0244
1827,1.5,4,Men,0.2,risky,1,50%,65 or older,Postgrad,US,Pass,1.1866
1828,3,2,Men,NA,risky,1,30%,65 or older,University,US,Pass,0.8757
1829,5.5,4,Women,0.533333333,certain,1,100%,18 to 29,University,US,Pass,0.8615
1830,5.5,2,Women,NA,certain,0,70%,18 to 29,HS or less,US,Fail,0.9485
1831,0,4,Men,NA,certain,0,50%,45 to 64,Some college,US,Fail,0.9867
1832,0,5,Women,0.133333333,risky,0,100%,18 to 29,HS or less,US,Pass,0.6463
1833,2.5,5,Men,0.733333333,certain,0,50%,45 to 64,HS or less,US,Fail,1.115
1834,10,1,Men,NA,certain,1,50%,45 to 64,University,Canada,Fail,1.2644
1835,2,3,Men,0.633333333,risky,1,70%,18 to 29,University,Canada,Pass,4.2965
1836,5,2,Men,NA,certain,0,30%,18 to 29,Some college,US,Fail,1.0244
1837,3,3,Men,0.3,certain,1,50%,30 to 44,Postgrad,US,Pass,1.3135
1838,6.5,2,Women,NA,certain,0,100%,45 to 64,Some college,Canada,Pass,0.381
1839,4.5,3,Women,0.2,certain,0,50%,18 to 29,HS or less,US,Pass,0.7431
1840,5.5,3,Women,NA,certain,0,50%,65 or older,HS or less,Canada,Fail,0.9708
1841,0,4,Men,NA,certain,0,100%,30 to 44,HS or less,US,Pass,1.1619
1842,4.5,2,Women,NA,certain,0,100%,45 to 64,HS or less,Canada,Fail,0.6346
1843,4,4,Women,NA,certain,1,70%,65 or older,Postgrad,US,Pass,0.4645
1844,7,3,Women,NA,certain,0,100%,65 or older,Some college,US,Pass,0.637
1845,1,4,Men,NA,certain,0,30%,18 to 29,HS or less,US,Fail,3.8549
1846,7,NA,Women,0.833333333,risky,1,100%,45 to 64,Postgrad,US,Pass,0.6367
1847,7,4,Women,NA,certain,0,70%,45 to 64,HS or less,US,Fail,1.1699
1848,0,5,Men,NA,certain,0,30%,18 to 29,HS or less,US,Pass,1.1521
1849,5,NA,Women,0.466666667,certain,0,30%,45 to 64,Some college,US,Fail,2.3137
1850,5.5,3,Men,NA,risky,0,30%,45 to 64,Some college,US,Pass,0.2252
1851,5,3,Men,NA,certain,0,100%,30 to 44,HS or less,US,Fail,0.7035
1852,5,NA,Women,NA,certain,0,30%,45 to 64,HS or less,US,Fail,0.6109
1853,10,2,Women,NA,certain,0,50%,45 to 64,Some college,US,Pass,0.4258
1854,4.5,4,Women,0.766666667,certain,0,30%,18 to 29,Some college,US,Fail,0.7682
1855,0,2,Women,0,risky,0,30%,18 to 29,HS or less,US,Pass,1.1389
1856,9,2,Men,0.833333333,certain,0,30%,45 to 64,Some college,Canada,Pass,0.5038
1857,5,3,Women,NA,certain,0,70%,45 to 64,HS or less,Canada,Fail,0.6346
1858,5,4,Men,0.633333333,risky,0,100%,18 to 29,HS or less,US,Pass,2.2558
1859,0,4,Men,0.2,certain,0,30%,18 to 29,Some college,US,Pass,1.1936
1860,7,2,Women,0.4,certain,0,30%,30 to 44,Some college,US,Fail,0.6452
1861,2.5,NA,Women,0.466666667,certain,1,50%,18 to 29,University,US,Pass,0.8581
1862,3,3,Men,NA,certain,0,70%,45 to 64,Some college,Canada,Pass,0.739
1863,3,3,Women,NA,certain,1,30%,65 or older,University,Canada,Pass,1.026
1864,5,4,Men,NA,certain,1,50%,45 to 64,University,Canada,Pass,1.1813
1865,7.5,2,Men,NA,certain,0,50%,18 to 29,HS or less,US,Pass,0.8036
1866,5,NA,Men,NA,certain,0,100%,30 to 44,Some college,US,Fail,1.4386
1867,3,4,Women,0.133333333,certain,1,100%,30 to 44,University,US,Pass,0.5837
1868,3.5,NA,Men,0.7,certain,0,100%,18 to 29,HS or less,US,Fail,0.837
1869,6,3,Women,NA,certain,1,50%,65 or older,University,US,Pass,0.6351
1870,10,3,Men,NA,certain,0,100%,45 to 64,HS or less,Canada,Fail,0.7752
1871,5,4,Men,0.7,certain,0,70%,18 to 29,Some college,US,Pass,0.591
1872,3,3,Women,0.633333333,risky,0,50%,30 to 44,HS or less,US,Fail,0.9621
1873,2.5,4,Women,NA,certain,0,30%,18 to 29,HS or less,Canada,Pass,2.4629
1874,0,1,Men,0.4,certain,0,50%,18 to 29,Some college,Canada,Fail,1.5106
1875,1,5,Women,0.4,risky,1,50%,30 to 44,University,US,Pass,0.93
1876,2,4,Men,0.4,certain,0,30%,18 to 29,HS or less,US,Fail,0.937
1877,5,NA,Women,0.8,certain,1,30%,18 to 29,University,US,Pass,0.6892
1878,7,2,Women,NA,certain,0,50%,18 to 29,Some college,US,Fail,0.7545
1879,5,4,Women,NA,certain,0,30%,45 to 64,Some college,Canada,Pass,0.4726
1880,0,5,Men,0.233333333,risky,0,50%,18 to 29,Some college,US,Fail,0.9343
1881,0,4,Men,0,certain,1,70%,30 to 44,Postgrad,US,Fail,1.5594
1882,2.5,3,Women,NA,certain,0,50%,30 to 44,HS or less,US,Fail,0.6802
1883,1.5,5,Women,0,certain,1,30%,18 to 29,Postgrad,US,Pass,0.9896
1884,5,4,Women,0.533333333,certain,1,100%,18 to 29,University,Canada,Pass,0.6257
1885,4,4,Women,0.8,risky,0,100%,18 to 29,HS or less,US,Pass,0.6633
1886,5.5,4,Women,0.5,certain,0,50%,18 to 29,HS or less,US,Pass,0.7482
1887,3,3,Women,0.466666667,certain,0,50%,18 to 29,HS or less,Canada,Fail,0.9257
1888,0,4,Men,0.166666667,certain,1,30%,18 to 29,Postgrad,US,Fail,1.0846
1889,1.5,5,Women,0.2,risky,1,50%,30 to 44,Postgrad,US,Fail,0.2304
